"Country_Code";"Trunk_Prefix";"International_Prefix";"Comment"
"966";"0";"00";"Saudi Arabia"
"221";"";"00";"Senegal"
"381";"0";"00";"Serbia"
"248";"";"00";"Seychelles"
"232";"0";"00";"Sierra Leone"
"65";"";"001/008";"Singapore"
"1";"1";"00";"Sint Maarten"
"421";"0";"00";"Slovakia"
"386";"0";"00";"Slovenia"
"677";"";"00";"Solomon Islands"
"252";"";"00";"Somalia"
"27";"0";"00";"South Africa"
"82";"0";"001/002";"South Korea"
"211";"";"00";"South Sudan"
"34";"";"00";"Spain"
"94";"0";"00";"Sri Lanka"
"249";"0";"00";"Sudan"
"597";"0";"00";"Suriname"
"268";"";"00";"Swaziland"
"46";"0";"00";"Sweden"
"41";"0";"00";"Switzerland"
"963";"0";"00";"Syria"
"886";"0";"002";"Taiwan"
"992";"8";"8/10";"Tajikistan"
"255";"0";"000";"Tanzania"
"66";"0";"001";"Thailand"
"88216";"";"00";"Thuraya Satellite"
"228";"";"00";"Togo"
"690";"";"00";"Tokelau"
"676";"";"00";"Tonga"
"1";"1";"011";"Trinidad and Tobago"
"216";"";"00";"Tunisia"
"90";"0";"00";"Turkey"
"993";"8";"8/10";"Turkmenistan"
"1";"1";"0";"Turks and Caicos Islands"
"688";"";"00";"Tuvalu"
"256";"0";"000";"Uganda"
"380";"0";"00";"Ukraine"
"971";"0";"00";"United Arab Emirates"
"44";"0";"00";"United Kingdom"
"1";"1";"011";"United States of America"
"1";"1";"011";"U.S. Virgin Islands"
"598";"0";"00";"Uruguay"
"998";"0";"00";"Uzbekistan"
"678";"";"00";"Vanuatu"
"379/39";"";"00";"Vatican City"
"58";"0";"00";"Venezuela"
"84";"0";"00";"Vietnam"
"681";"";"00";"Wallis and Futuna"
"967";"0";"00";"Yemen"
"260";"0";"00";"Zambia"
"263";"0";"00";"Zimbabwe"
