"prefix";"maxLength";"minLength";"usage";"info"
"565";"10";"6";"Geographic numbers";"Piombino"
"566";"10";"6";"Geographic numbers";"Follonica"
"571";"10";"6";"Geographic numbers";"Empoli"
"572";"10";"6";"Geographic numbers";"Montecatini Terme"
"573";"10";"6";"Geographic numbers";"Pistoia"
"574";"10";"6";"Geographic numbers";"Prato"
"575";"10";"6";"Geographic numbers";"Arezzo"
"577";"10";"6";"Geographic numbers";"Siena"
"578";"10";"6";"Geographic numbers";"Chianciano Terme"
"583";"10";"6";"Geographic numbers";"Lucca"
"584";"10";"6";"Geographic numbers";"Viareggio"
"585";"10";"6";"Geographic numbers";"Massa"
"586";"10";"6";"Geographic numbers";"Livorno"
"587";"10";"6";"Geographic numbers";"Pontedera"
"588";"10";"6";"Geographic numbers";"Volterra"
"59";"10";"6";"Geographic numbers";"Modena"
"6";"10";"6";"Geographic numbers";"Roma"
"70";"10";"6";"Geographic numbers";"Cagliari"
"71";"10";"6";"Geographic numbers";"Ancona"
"721";"10";"6";"Geographic numbers";"Pesaro"
"722";"10";"6";"Geographic numbers";"Urbino"
"731";"10";"6";"Geographic numbers";"Jesi"
"732";"10";"6";"Geographic numbers";"Fabriano"
"733";"10";"6";"Geographic numbers";"Macerata"
"734";"10";"6";"Geographic numbers";"Fermo"
"735";"10";"6";"Geographic numbers";"S. Benedetto del Tronto"
"736";"10";"6";"Geographic numbers";"Ascoli Piceno"
"737";"10";"6";"Geographic numbers";"Camerino"
"742";"10";"6";"Geographic numbers";"Foligno"
"743";"10";"6";"Geographic numbers";"Spoleto"
"744";"10";"6";"Geographic numbers";"Terni"
"746";"10";"6";"Geographic numbers";"Rieti"
"75";"10";"6";"Geographic numbers";"Perugia"
"761";"10";"6";"Geographic numbers";"Viterbo"
"763";"10";"6";"Geographic numbers";"Orvieto"
"765";"10";"6";"Geographic numbers";"Poggio Mirteto"
"766";"10";"6";"Geographic numbers";"Civitavecchia"
"769";"10";"6";"Geographic numbers";"Roma for mass call, until 31st December 2014"
"771";"10";"6";"Geographic numbers";"Formia"
"773";"10";"6";"Geographic numbers";"Latina"
"774";"10";"6";"Geographic numbers";"Tivoli"
"775";"10";"6";"Geographic numbers";"Frosinone"
"776";"10";"6";"Geographic numbers";"Cassino"
"781";"10";"6";"Geographic numbers";"Iglesias"
"782";"10";"6";"Geographic numbers";"Lanusei"
